PING fe80::e6f8:9cff:fe4a:1285(fe80::e6f8:9cff:fe4a:1285) from fe80::e6f8:9cff:fe4a:1276 wlan0: 56 data bytes
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=1 ttl=64 time=34.5 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=2 ttl=64 time=5.15 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=3 ttl=64 time=5.35 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=4 ttl=64 time=5.30 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=5 ttl=64 time=71.1 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=6 ttl=64 time=292 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=7 ttl=64 time=35.4 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=8 ttl=64 time=260 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=10 ttl=64 time=46.7 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=12 ttl=64 time=67.5 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=13 ttl=64 time=88.9 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=14 ttl=64 time=117 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=15 ttl=64 time=7.29 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=16 ttl=64 time=55.6 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=17 ttl=64 time=5.73 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=18 ttl=64 time=4.02 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=19 ttl=64 time=3.91 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=20 ttl=64 time=45.1 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=21 ttl=64 time=8.79 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=22 ttl=64 time=10.6 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=23 ttl=64 time=212 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=24 ttl=64 time=17.9 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=25 ttl=64 time=52.3 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=26 ttl=64 time=3.84 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=27 ttl=64 time=100 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=28 ttl=64 time=3.87 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=29 ttl=64 time=348 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=30 ttl=64 time=3.92 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=31 ttl=64 time=190 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=32 ttl=64 time=110 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=33 ttl=64 time=3.88 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=34 ttl=64 time=55.4 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=35 ttl=64 time=74.4 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=36 ttl=64 time=3.90 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=37 ttl=64 time=42.2 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=39 ttl=64 time=60.8 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=41 ttl=64 time=96.9 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=42 ttl=64 time=3.91 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=43 ttl=64 time=141 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=44 ttl=64 time=3.95 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=45 ttl=64 time=3.88 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=46 ttl=64 time=7.37 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=47 ttl=64 time=4.01 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=48 ttl=64 time=50.3 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=49 ttl=64 time=77.2 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=50 ttl=64 time=3.84 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=51 ttl=64 time=3.86 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=52 ttl=64 time=9.00 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=53 ttl=64 time=168 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=54 ttl=64 time=189 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=55 ttl=64 time=8.86 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=56 ttl=64 time=58.5 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=57 ttl=64 time=50.8 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=58 ttl=64 time=5.36 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=59 ttl=64 time=195 ms
